Game_ID,Words,Color,Category,Options,Prompt,Correct_Answer,Response,Probabilities,Correct
8,"['CRYPTOGRAPHY', 'FLORIDA', 'LOCKSMITH', 'PIANO']",purple,THINGS WITH KEYS,"['BACKGAMMON', 'CHESS', 'RUBY', 'FIRE TRUCK', 'GO', 'QUEEN', 'FULL', 'TWIN', 'CHECKERS', 'STOP SIGN', 'KING', 'CHERRY']","['CRYPTOGRAPHY', 'FLORIDA', 'LOCKSMITH']",PIANO,LOCKSMITH,0.5514200245380151,False
9,"['CRICKET', 'FENCING', 'POLO', 'SQUASH']",yellow,SPORTS,"['ANT', 'ONION', 'TANK', 'BEET', 'MANTIS', 'CORN', 'TERMITE', 'BEETLE', 'CAMI', 'TEE', 'HALTER', 'CARROT']","['CRICKET', 'FENCING', 'POLO']",SQUASH,TEE,0.5704308460446291,False
9,"['CAMI', 'HALTER', 'TANK', 'TEE']",green,TOPS,"['POLO', 'ANT', 'FENCING', 'ONION', 'BEET', 'MANTIS', 'CORN', 'CRICKET', 'TERMITE', 'BEETLE', 'SQUASH', 'CARROT']","['CAMI', 'HALTER', 'TANK']",TEE,HALTER,0.6248183810344115,False
9,"['BEET', 'CARROT', 'CORN', 'ONION']",blue,VEGETABLES,"['POLO', 'ANT', 'FENCING', 'TANK', 'MANTIS', 'CRICKET', 'TERMITE', 'BEETLE', 'CAMI', 'TEE', 'SQUASH', 'HALTER']","['BEET', 'CARROT', 'CORN']",ONION,BEETLE,0.9871419510760088,False
9,"['ANT', 'BEETLE', 'MANTIS', 'TERMITE']",purple,INSECTS,"['POLO', 'FENCING', 'ONION', 'TANK', 'BEET', 'CORN', 'CRICKET', 'CAMI', 'TEE', 'SQUASH', 'HALTER', 'CARROT']","['ANT', 'BEETLE', 'MANTIS']",TERMITE,BEET,0.8591758475042298,False
10,"['DATE', 'KIWI', 'LEMON', 'ORANGE']",yellow,FRUIT,"['TOGO', 'TWINS', 'JAY', 'FISH', 'GEORGIA', 'CRANE', 'GOAT', 'JORDAN', 'SCALES', 'TURKEY', 'CHAD', 'SWALLOW']","['DATE', 'KIWI', 'LEMON']",ORANGE,JORDAN,0.12126583282516555,False
10,"['CHAD', 'GEORGIA', 'JORDAN', 'TOGO']",green,COUNTRIES,"['KIWI', 'TWINS', 'JAY', 'FISH', 'CRANE', 'GOAT', 'DATE', 'SCALES', 'TURKEY', 'LEMON', 'SWALLOW', 'ORANGE']","['CHAD', 'GEORGIA', 'JORDAN']",TOGO,CRANE,0.22212659209551652,False
10,"['CRANE', 'JAY', 'SWALLOW', 'TURKEY']",blue,BIRDS,"['KIWI', 'TOGO', 'TWINS', 'FISH', 'GEORGIA', 'GOAT', 'DATE', 'JORDAN', 'SCALES', 'CHAD', 'LEMON', 'ORANGE']","['CRANE', 'JAY', 'SWALLOW']",TURKEY,SWALLOW - FISH,0.22561573648004202,False
10,"['FISH', 'GOAT', 'SCALES', 'TWINS']",purple,ZODIAC SYMBOLS,"['KIWI', 'TOGO', 'JAY', 'GEORGIA', 'CRANE', 'DATE', 'JORDAN', 'TURKEY', 'CHAD', 'LEMON', 'SWALLOW', 'ORANGE']","['FISH', 'GOAT', 'SCALES']",TWINS,SWALLOW,0.9058664799764307,False
11,"['CARDAMOM', 'CLOVE', 'CORIANDER', 'CUMIN']",yellow,SPICES BEGINNING WITH “C”,"['SCARY', 'BIRD', 'SWEETIE', 'ANGEL', 'BABY', 'PEGASUS', 'POSH', 'HONEY', 'AIRPLANE', 'BOO', 'GINGER', 'SUGAR']","['CARDAMOM', 'CLOVE', 'CORIANDER']",CUMIN,GINGER,0.9982868443774555,False
11,"['BOO', 'HONEY', 'SUGAR', 'SWEETIE']",green,TERMS OF ENDEARMENT,"['CORIANDER', 'SCARY', 'BIRD', 'CUMIN', 'ANGEL', 'BABY', 'PEGASUS', 'POSH', 'CARDAMOM', 'AIRPLANE', 'GINGER', 'CLOVE']","['BOO', 'HONEY', 'SUGAR']",SWEETIE,GINGER,0.6671106297033024,False
11,"['AIRPLANE', 'ANGEL', 'BIRD', 'PEGASUS']",blue,THINGS WITH WINGS,"['CORIANDER', 'SCARY', 'SWEETIE', 'CUMIN', 'BABY', 'POSH', 'CARDAMOM', 'HONEY', 'BOO', 'GINGER', 'SUGAR', 'CLOVE']","['AIRPLANE', 'ANGEL', 'BIRD']",PEGASUS,BIRD,0.9904070704165018,False
11,"['BABY', 'GINGER', 'POSH', 'SCARY']",purple,SPICE GIRLS,"['CORIANDER', 'BIRD', 'SWEETIE', 'CUMIN', 'ANGEL', 'PEGASUS', 'CARDAMOM', 'HONEY', 'AIRPLANE', 'BOO', 'SUGAR', 'CLOVE']","['BABY', 'GINGER', 'POSH']",SCARY,SWEETIE,0.7150177894020564,False
12,"['FLOCK', 'PACK', 'POD', 'SCHOOL']",yellow,ANIMAL GROUP NAMES,"['LORIS', 'SEC', 'TAN', 'GREED', 'SLOTH', 'COT', 'LUST', 'SNAIL', 'SIN', 'TORTOISE', 'PRIDE', 'ENVY']","['FLOCK', 'PACK', 'POD']",SCHOOL,PRIDE,0.6691363014463443,False
12,"['ENVY', 'GREED', 'LUST', 'PRIDE']",green,DEADLY SINS,"['PACK', 'LORIS', 'SEC', 'TAN', 'SCHOOL', 'SLOTH', 'POD', 'COT', 'SNAIL', 'SIN', 'TORTOISE', 'FLOCK']","['ENVY', 'GREED', 'LUST']",PRIDE,SIN,0.9933938353779264,False
12,"['LORIS', 'SLOTH', 'SNAIL', 'TORTOISE']",blue,SLOW ANIMALS,"['PACK', 'SEC', 'TAN', 'GREED', 'SCHOOL', 'POD', 'COT', 'LUST', 'SIN', 'PRIDE', 'ENVY', 'FLOCK']","['LORIS', 'SLOTH', 'SNAIL']",TORTOISE,SIN,0.5719671527432868,False
12,"['COT', 'SEC', 'SIN', 'TAN']",purple,TRIG FUNCTIONS,"['PACK', 'LORIS', 'GREED', 'SCHOOL', 'SLOTH', 'POD', 'LUST', 'SNAIL', 'TORTOISE', 'PRIDE', 'ENVY', 'FLOCK']","['COT', 'SEC', 'SIN']",TAN,SCHOOL,0.2890650945009382,False
13,"['FRONTIER', 'SPIRIT', 'UNITED', 'VIRGIN']",yellow,AIRLINES,"['GNAT', 'GNOCCHI', 'IOTA', 'BETA', 'NU', 'KNEW', 'DELTA', 'GNU', 'NEW', 'CHI', 'GNAW', 'GNOME']","['FRONTIER', 'SPIRIT', 'UNITED']",VIRGIN,UNITED,0.6534963583542591,False
13,"['BETA', 'CHI', 'DELTA', 'IOTA']",green,GREEK LETTERS,"['GNAT', 'GNOCCHI', 'FRONTIER', 'NU', 'KNEW', 'SPIRIT', 'GNU', 'NEW', 'VIRGIN', 'UNITED', 'GNAW', 'GNOME']","['BETA', 'CHI', 'DELTA']",IOTA,GNOCCHI,0.2718691429089977,False
13,"['GNAT', 'GNAW', 'GNOCCHI', 'GNOME']",blue,SILENT “G”,"['IOTA', 'BETA', 'FRONTIER', 'NU', 'KNEW', 'SPIRIT', 'DELTA', 'GNU', 'NEW', 'VIRGIN', 'CHI', 'UNITED']","['GNAT', 'GNAW', 'GNOCCHI']",GNOME,GNU,0.9936803033337573,False
13,"['GNU', 'KNEW', 'NEW', 'NU']",purple,HOMOPHONES,"['GNAT', 'GNOCCHI', 'IOTA', 'BETA', 'FRONTIER', 'SPIRIT', 'DELTA', 'VIRGIN', 'CHI', 'UNITED', 'GNAW', 'GNOME']","['GNU', 'KNEW', 'NEW']",NU,GNOME,0.4221468998611467,False
14,"['BUNK', 'CANOPY', 'MURPHY', 'TRUNDLE']",yellow,BEDS,"['WARNER', 'LINK', 'CRASH', 'JONAS', 'SONIC', 'PILOT', 'MARX', 'ACCORD', 'CIVIC', 'WRIGHT', 'PASSPORT', 'MARIO']","['BUNK', 'CANOPY', 'MURPHY']",TRUNDLE,WRIGHT,0.20523732543509451,False
14,"['JONAS', 'MARX', 'WARNER', 'WRIGHT']",green,FAMOUS BROTHERS,"['LINK', 'MURPHY', 'TRUNDLE', 'CRASH', 'CANOPY', 'SONIC', 'PILOT', 'BUNK', 'ACCORD', 'CIVIC', 'PASSPORT', 'MARIO']","['JONAS', 'MARX', 'WARNER']",WRIGHT,MURPHY,0.24450865945633454,False
14,"['ACCORD', 'CIVIC', 'PASSPORT', 'PILOT']",blue,HONDAS,"['WARNER', 'LINK', 'MURPHY', 'TRUNDLE', 'CRASH', 'CANOPY', 'JONAS', 'SONIC', 'MARX', 'BUNK', 'WRIGHT', 'MARIO']","['ACCORD', 'CIVIC', 'PASSPORT']",PILOT,WRIGHT,0.405409149921139,False
14,"['CRASH', 'LINK', 'MARIO', 'SONIC']",purple,VIDEO GAME CHARACTERS,"['WARNER', 'MURPHY', 'TRUNDLE', 'CANOPY', 'JONAS', 'PILOT', 'MARX', 'BUNK', 'ACCORD', 'CIVIC', 'WRIGHT', 'PASSPORT']","['CRASH', 'LINK', 'MARIO']",SONIC,MARX,0.6148268518772867,False
15,"['CAW', 'CHIRP', 'CLUCK', 'TWEET']",yellow,BIRD SOUNDS,"['SILVER', 'HOOK', 'BROWN', 'LURE', 'VIOLET', 'ROD', 'TURQUOISE', 'REEL', 'PINK', 'SPARROW', 'JONES', 'TACKLE']","['CAW', 'CHIRP', 'CLUCK']",TWEET,SPARROW,0.9990897293146253,False
15,"['BROWN', 'PINK', 'TURQUOISE', 'VIOLET']",green,COLORS,"['SILVER', 'HOOK', 'LURE', 'ROD', 'CAW', 'CLUCK', 'TWEET', 'CHIRP', 'REEL', 'SPARROW', 'JONES', 'TACKLE']","['BROWN', 'PINK', 'TURQUOISE']",VIOLET,TACKLE,0.6454868911923357,False
15,"['LURE', 'REEL', 'ROD', 'TACKLE']",blue,FISHING GEAR,"['SILVER', 'HOOK', 'BROWN', 'VIOLET', 'TURQUOISE', 'CAW', 'CLUCK', 'TWEET', 'CHIRP', 'PINK', 'SPARROW', 'JONES']","['LURE', 'REEL', 'ROD']",TACKLE,HOOK,0.9976229032306889,False
15,"['HOOK', 'JONES', 'SILVER', 'SPARROW']",purple,FICTIONAL PIRATES,"['BROWN', 'LURE', 'VIOLET', 'ROD', 'TURQUOISE', 'CAW', 'CLUCK', 'TWEET', 'CHIRP', 'REEL', 'PINK', 'TACKLE']","['HOOK', 'JONES', 'SILVER']",SPARROW,REEL,0.5020506685428341,False
16,"['AMERICANO', 'CAPPUCCINO', 'ESPRESSO', 'LATTE']",yellow,COFFEE DRINKS,"['PECAN', 'WALNUT', 'CASHEW', 'ALMOND', 'PEANUT', 'BEAN', 'FOX', 'OLIVE', 'KELLY', 'CLEAN', 'FOREST', 'EMERALD']","['AMERICANO', 'CAPPUCCINO', 'ESPRESSO']",LATTE,BEAN,0.7663180913850685,False
16,"['ALMOND', 'CASHEW', 'PECAN', 'WALNUT']",green,TREE NUTS,"['PEANUT', 'BEAN', 'LATTE', 'ESPRESSO', 'FOX', 'OLIVE', 'KELLY', 'AMERICANO', 'CAPPUCCINO', 'CLEAN', 'FOREST', 'EMERALD']","['ALMOND', 'CASHEW', 'PECAN']",WALNUT,PEANUT,0.6738140463960485,False
16,"['EMERALD', 'FOREST', 'KELLY', 'OLIVE']",blue,SHADES OF GREEN,"['PECAN', 'WALNUT', 'CASHEW', 'ALMOND', 'PEANUT', 'BEAN', 'LATTE', 'ESPRESSO', 'FOX', 'AMERICANO', 'CAPPUCCINO', 'CLEAN']","['EMERALD', 'FOREST', 'KELLY']",OLIVE,FOREST,0.8529006679744229,False
16,"['BEAN', 'CLEAN', 'FOX', 'PEANUT']",purple,MR. ___,"['PECAN', 'WALNUT', 'CASHEW', 'ALMOND', 'LATTE', 'ESPRESSO', 'OLIVE', 'KELLY', 'AMERICANO', 'CAPPUCCINO', 'FOREST', 'EMERALD']","['BEAN', 'CLEAN', 'FOX']",PEANUT,PECAN,0.7188448465946157,False
17,"['ASCOT', 'BOLO', 'SCARF', 'TIE']",yellow,NECKWEAR,"['GAIN', 'STARBOARD', 'LOVE', 'PORT', 'BERMUDA', 'TIDE', 'ALL', 'ERA', 'BOW', 'ACUTE', 'STERN', 'RIGHT']","['ASCOT', 'BOLO', 'SCARF']",TIE,TIE,0.3176045828494072,True
17,"['BOW', 'PORT', 'STARBOARD', 'STERN']",green,SHIP DIRECTIONS,"['GAIN', 'SCARF', 'LOVE', 'BOLO', 'BERMUDA', 'ASCOT', 'TIDE', 'ALL', 'ERA', 'ACUTE', 'TIE', 'RIGHT']","['BOW', 'PORT', 'STARBOARD']",STERN,TIE,0.8109999902264475,False
17,"['ALL', 'ERA', 'GAIN', 'TIDE']",blue,DETERGENTS,"['STARBOARD', 'SCARF', 'LOVE', 'BOLO', 'PORT', 'BERMUDA', 'ASCOT', 'BOW', 'ACUTE', 'TIE', 'STERN', 'RIGHT']","['ALL', 'ERA', 'GAIN']",TIDE,PORT,0.5784826906393429,False
17,"['ACUTE', 'BERMUDA', 'LOVE', 'RIGHT']",purple,___ TRIANGLE,"['GAIN', 'STARBOARD', 'SCARF', 'BOLO', 'PORT', 'ASCOT', 'TIDE', 'ALL', 'ERA', 'BOW', 'TIE', 'STERN']","['ACUTE', 'BERMUDA', 'LOVE']",RIGHT,TIE,0.7117255204392305,False
18,"['LAT', 'PEC', 'QUAD', 'TRI']",yellow,"MUSCLES,  INFORMALLY","['QUINN', 'TROPHY', 'BEAR', 'BILL', 'MEDAL', 'GREY', 'HOUSE', 'COMMANDER', 'RIBBON', 'CUP', 'HOWSER', 'BROWN']","['LAT', 'PEC', 'QUAD']",TRI,RIBBON,0.3959934880117655,False
18,"['CUP', 'MEDAL', 'RIBBON', 'TROPHY']",green,AWARDS,"['QUINN', 'QUAD', 'BEAR', 'BILL', 'GREY', 'HOUSE', 'COMMANDER', 'PEC', 'TRI', 'LAT', 'HOWSER', 'BROWN']","['CUP', 'MEDAL', 'RIBBON']",TROPHY,MEDAL,0.6276531801518542,False
18,"['GREY', 'HOUSE', 'HOWSER', 'QUINN']",blue,TITLE TV DOCTORS,"['QUAD', 'TROPHY', 'BEAR', 'BILL', 'MEDAL', 'COMMANDER', 'PEC', 'TRI', 'LAT', 'RIBBON', 'CUP', 'BROWN']","['GREY', 'HOUSE', 'HOWSER']",QUINN,BROWN,0.9947397361642405,False
18,"['BEAR', 'BILL', 'BROWN', 'COMMANDER']",purple,NFL PLAYERS,"['QUINN', 'QUAD', 'TROPHY', 'MEDAL', 'GREY', 'HOUSE', 'PEC', 'TRI', 'LAT', 'RIBBON', 'CUP', 'HOWSER']","['BEAR', 'BILL', 'BROWN']",COMMANDER,CUP,0.5850811863700058,False
19,"['CREAM', 'EGGSHELL', 'IVORY', 'VANILLA']",yellow,OFF-WHITE SHADES,"['MIRROR', 'CRUCIFIX', 'VENISON', 'SPAT', 'QUARREL', 'GARLIC', 'TIFF', 'PORK', 'BEEF', 'ROW', 'STAKE', 'POULTRY']","['CREAM', 'EGGSHELL', 'IVORY']",VANILLA,IVORY,0.9098112895266031,False
19,"['CRUCIFIX', 'GARLIC', 'MIRROR', 'STAKE']",green,ANTI-VAMPIRE,"['EGGSHELL', 'VENISON', 'SPAT', 'QUARREL', 'CREAM', 'TIFF', 'PORK', 'IVORY', 'BEEF', 'ROW', 'VANILLA', 'POULTRY']","['CRUCIFIX', 'GARLIC', 'MIRROR']",STAKE,IVORY,0.6166510020416286,False
19,"['BEEF', 'PORK', 'POULTRY', 'VENISON']",blue,KINDS OF MEAT,"['EGGSHELL', 'MIRROR', 'CRUCIFIX', 'SPAT', 'QUARREL', 'CREAM', 'GARLIC', 'TIFF', 'IVORY', 'ROW', 'VANILLA', 'STAKE']","['BEEF', 'PORK', 'POULTRY']",VENISON,GARLIC,0.8517259218088205,False
19,"['ROW', 'QUARREL', 'SPAT', 'TIFF']",purple,SYNONYMS FOR ARGUMENT,"['EGGSHELL', 'MIRROR', 'CRUCIFIX', 'VENISON', 'CREAM', 'GARLIC', 'PORK', 'IVORY', 'BEEF', 'VANILLA', 'STAKE', 'POULTRY']","['ROW', 'QUARREL', 'SPAT']",TIFF,STAKE,0.8947756028097509,False
20,"['BARLEY', 'OAT', 'RYE', 'SPELT']",yellow,GRAINS,"['BROWN', 'HOWARD', 'EARL', 'BARON', 'BONG', 'KING', 'LEE', 'RICE', 'FORD', 'PRINCE', 'STONE', 'DUKE']","['BARLEY', 'OAT', 'RYE']",SPELT,RICE,0.9891614127223807,False
20,"['BARON', 'EARL', 'KING', 'PRINCE']",green,ROYAL TITLES,"['BROWN', 'RYE', 'HOWARD', 'BARLEY', 'OAT', 'BONG', 'LEE', 'RICE', 'FORD', 'SPELT', 'STONE', 'DUKE']","['BARON', 'EARL', 'KING']",PRINCE,DUKE,0.9999170082178435,False
